"GEO_ID","NAME","GEO_ID_F","NAICS2017","NAICS2017_LABEL","NAICS2017_F","LFO","LFO_LABEL","EMPSZES","EMPSZES_LABEL","YEAR","ESTAB","ESTAB_F","PAYANN","PAYANN_F","PAYANN_N","PAYANN_N_F","PAYQTR1","PAYQTR1_F","PAYQTR1_N","PAYQTR1_N_F","EMP","EMP_F","EMP_N","EMP_N_F",
"Geographic identifier code","Geographic Area Name","Geo Footnote","2017 NAICS code","Meaning of NAICS code","2017 NAICS Footnote","Legal form of organization code","Meaning of Legal form of organization code","Employment size of establishments code","Meaning of Employment size of establishments code","Year","Number of establishments","Flag for number of establishments","Annual payroll ($1,000)","Flag for annual payroll","Noise range for annual payroll","Flag for Noise range for annual payroll","First-quarter payroll ($1,000)","Flag for first-quarter payroll","Noise range for first-quarter payroll","Flag for Noise range for first-quarter payroll","Number of employees","Flag for number of employees","Noise range for number of employees","Flag for Noise range for number of employees ",
"0500000US01001","Autauga County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","3","null","263","null","H","H","68","null","H","H","10","null","G","G",
"0500000US01003","Baldwin County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","25","null","2933","null","G","G","669","null","H","H","107","null","J","J",
"0500000US01003","Baldwin County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","15","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01003","Baldwin County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","220","Establishments with 5 to 9 employees","2020","8","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01015","Calhoun County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","5","null","333","null","H","H","98","null","H","H","18","null","J","J",
"0500000US01015","Calhoun County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","4","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01021","Chilton County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","3","null","156","null","G","G","38","null","H","H","8","null","G","G",
"0500000US01021","Chilton County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01031","Coffee County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","3","null","196","null","G","G","49","null","H","H","9","null","J","J",
"0500000US01031","Coffee County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01033","Colbert County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","12","null","569","null","G","G","124","null","G","G","23","null","H","H",
"0500000US01033","Colbert County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","11","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01039","Covington County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","3","null","220","null","J","J","51","null","J","J","6","null","J","J",
"0500000US01039","Covington County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01043","Cullman County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","3","null","757","null","J","J","156","null","J","J","30","null","J","J",
"0500000US01045","Dale County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","3","null","197","null","H","H","45","null","H","H","11","null","J","J",
"0500000US01049","DeKalb County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","4","null","212","null","G","G","48","null","G","G","13","null","J","J",
"0500000US01049","DeKalb County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","210","Establishments with less than 5 employees","2020","3","null","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US01051","Elmore County, Alabama","null","4453","Beer, wine, and liquor stores","null","001","All establishments","001","All establishments","2020","5","null","303","null","H","H","76","null","J","J","12","null","G","G",
